content,mid,like
我觉得有些人反预制菜反魔怔了，讲个自己身上发生的事，我爸贼讨厌预制菜，觉得不干净，没有现做的干净。我有一次买了预制的梅菜扣肉 我爸看到了就说我，让我别吃预制菜。然而过年去饭店吃饭，上来一份梅菜扣肉，我一眼就看出来了妥妥预制菜搁蒸箱里热了端上来，我爸吃的津津有味，我很好奇，难道我爸真觉得饭店能在过年期间生意火爆的同时还给你现做梅菜扣肉吗，这扣肉一抿就化得蒸多久不知道嘛。还有我买冷链运输来的粽子，我爸一口不吃，外面卖的粽子，外包装都没撕我爸也是吃的津津有味,396430862,160
其实作为一个餐饮行业的从业者，对于我来说，只要你的房租成本高于菜品单价的50%预制菜就是你的必然选择，打个不恰当的比喻，一份水煮牛肉，150克牛肉（40?0.3=12）150克青菜（豆芽莴笋啥的算最便宜的豆芽5?0.3=1.5）调料油水咱们就按1.5算 燃气 餐具 设备损耗算1块钱 后厨一个大工（7500/24/2/50=3.125 7500工资 月休6天 两个饭点 一个师傅出50个菜）这些成本算下来成本已经接近20元了 所以如果商家卖到40元其实才将将打平（如果房租更高当然价格更高 我做过最离谱的店食材成本只有20%……）所以矛盾就出现了…因为菜品价格不能在提了 你出门吃个中午饭 一个米饭一个肉菜如果超过50块钱你是不是就考虑吃别的了？如果你逛了一条街 每一家都这个价格……你是不是就买个面包饼干将就一下了？这就是根本所在了。房租在餐饮成本里已经压过食材成本太高了（都不用说人员成本15年没增长过）如果我现在把占据使用面积一半的后厨全砍掉！然后整一个多层架子 全放微波炉 电饭锅！我将凭空多出来一倍的就餐区 （也就是说每个饭点即使不翻台也增加一倍的客流量，）同时出餐效率大大提升（什么狗屁20年的老师傅！我这一手极致的工业化8个微波炉5分钟出16个菜！你挡得住么？）人员成本大幅度降低（砍掉主厨，帮厨，刷碗阿姨都能少俩！）而且卫生条件大幅度改善（没有生鲜区 摘洗区！一个架子就是整个厨房！） 所以 你看一下一线城市的核心地段（其实一线城市非核心地段基本上也一样了）是不是都是连锁餐饮？或者面条店？因为房租成本已经把餐饮业逼成零售业了 只不过零售的是开袋即食的食品，而餐饮行业与客人之间的对立，不理解。正好完美的把最大的受益者隐藏起来了…谁拿走了那50%-80%的利润呢？,549710446,950
"现在预制菜最大的问题是没给消费者知情权。
要是告诉我是预制菜，我吃了，闹事，这是我的问题。
现实是我以为是现做的菜，价格也是按照现做的心理预期的，结果你不到三块钱一份的料理包，收了我十几块饭钱。
要是我知道，我上网买了自己热一下做了不就好了，何必多花钱，我难道不会用电饭煲煮米饭。",443583956,436
"之前就见大家评论区说的很明白了，无非就两点。
1.你卖预制菜就必须让我知道，大家都摊牌，能接受就吃，不接受就不吃。
2.你卖便宜的预制菜，没有繁杂的采购、备菜、翻炒的过程，也没有新鲜的口感凭什么我们要用别人现炒菜价格吃。",17034,4344
在M记工作过，仅我所工作过的那一家门店的后厨岗位，炸鸡是解冻鸡肉现腌现裹现炸的脆不脆看裹粉老哥的手艺，严格按照工作流程来的炸出来的就又香又脆，乱来的除了有层面粉壳子啥也不是，至于其他产品你们放心，全是预制好的；顺便提两嘴，某家牛排店的部分牛排是工厂提前腌制再煎的，汤是罐头按比例配好再煮出来的，意面倒是现煮的，某披萨店大部分东西是现做的，小吃和少数配料是罐头做的，面团是后厨提前一天发酵好的,102602536,540
"刚吃的扣肉预制菜[喜极而泣]
1、预制菜雀食省事，懒癌福音。事实上，自己家现做有时也算“预制菜”：肉酱一炖一大锅，分成小盒冻起来，每次吃之前解冻再煮面；剩下小半锅还能烤一盘千层面，一盘千层面能吃六顿。
2、标准化、干净很重要。我点外卖很保守，只点吃过的实体店。所以我只点一家新疆菜，一家日式拉面馆；另外拱门、开封、帽子和骰子这种“白名单”也可以点。
3、雀食，预制菜提升的是底层人的下限。如果我年入百万，那肯定顿顿西餐日料粤菜，搁家就雇做饭阿姨一个月8500做饭，肯定比自己做效率高，预制菜也就跟我没什么关系了。但问题我没有年入百万，吃预制菜就当是吃自热野战食品了。",25914868,43
"我还是那个观点，所谓的“预制菜标价和现做菜一样甚至现做菜高”的现象未来必然不会长久，因为你会用预制菜，别人也会用，都是同样的产品你标高价必然会被别人用低价比下去，都是一样的味道消费者自然会选择更便宜的，头铁标高价只有死路一条。
为什么我那么清楚？因为当年速冻虾饺速冻包子之类的速冻产品已经在广东上演过一遍了",7907456,41
"我觉得这玩意最尴尬的还是其出现的时间点。工业化标准化可以提升效率减少成本，但其中一个表现就是会减少大量的人力需求，导致厨师行业被紧缩，中端厨师直接失业。而当下却正是中青年人口最多的时候，同时也是整体经济紧缩的下坡时期。这个时候饭店说我不要厨子了要改用工业化的产品，然后服务员捏捏个塑料袋就出餐，不论是厨师行业还是来吃饭的基层群众，内心怎么说都是非常反感的。
这玩意要是晚来个20多年，到达劳动力紧缩的场景下，这种工业化带来的生产力提升所创造的价值，才能切实的落实到每个人头上。",105966,368
前两天有人给我带饭。他到那儿给我拍的图片有青椒炒肉盖饭有西红柿鸡蛋盖饭，有蒜苔炒肉盖饭。然后我让他问一下有没有青椒鸡蛋盖饭，他问了老板，老板说没有。然后我让他问是没有食材还是做不了。老板说做不了。我就直接让他换了一家店。有青椒炒肉，有番茄炒鸡蛋，但没有青椒炒鸡蛋。明显就是料理包。,14482234,35
我发现现在所有的自媒体都在有意无意营销预制菜比菜馆干净，所谓的对比就是拿一些出问题的餐馆和预制菜制作宣传视频做对比，然后给出一个无形的答案，预制菜好，但他们都忽略了一个信息，预制菜就是一种所谓的商品，火腿肠与老坛酸菜都能出问题，为什么要这么安心吃预制菜？,4348301,31
