content,mid,like
[doge]不是啊，你们为什么现在才开始反对预制菜？城市里大品牌的东西几乎都是预制菜，所以我搞不清楚，你们反对预制菜怎么没人去反对这些大品牌的商家。很多店都是没有后厨的，都是拿预制菜热一下就可以上来了，很多吹嘘自己上菜上的快的，都是预制菜。所以不太明白，最近这个词是怎么炒起来的，有吊大的能介绍一下吗？,26459653,385
"我食品行业，小龙虾熟食电商。不是广告，最近我们没有卖货。E
我敢说我家的是发快递里面新鲜度和口感肉质最好的那少数几家之一。
但是有时候和客户聊起来，我也建议他们方便的话可以来我们潜江本地吃现做的。

预制菜这个东西，在怎么块，从出厂到餐桌也要1礼拜，我们小龙虾熟食是冷冻，预制菜大多是冷藏保存。买过菜的都知道新鲜蔬菜放冰箱冷藏两天和买回来就吃是两回事。如果预制菜冷冻保存 那口感一言难尽了。

预制菜唯一的优点就是便宜，方便这块对堂食来说区别不大，一个阿姨天天洗菜切菜一个月也不到4000块。那种1-2人外卖店才是预制菜绝配。

那么外卖为什么便宜大家想明白没有？",372457628,1613
别无脑喷了，我跑过两年半的外卖，基本看名字店名就知道是不是预支菜。像什么某某饭、某某烧烤、某某菜那种连锁店想都不要想都是用预制菜，没办法省时省力省成本。然后就是看店的地址，很多使用预制菜的店都在一些那种四通八达的小区里，很少有在靠大马路的门面或者商场里，但也有个例。很多视频博主都在表达预制菜不好的想法，我觉得完全没必要每个人有每个人的选择。像一些办公区比较集中的地方一个店一中午要现做这么多的菜，在人力和租金的成本要增加很多，再加上平台的压榨预制菜就成了这些店的首选。某些人别再为了流量无脑去喷了预制菜了，不愿吃就不吃，这么闲自己去当地繁华的街区附近开个店体验体验就知道了。,381843559,1061
"预制菜的定义没问题，按照标准来，干净卫生。生活中也有很多…比如肯德基这类快餐店。问题是，【很难保障中标的预制菜厂家严格按健康卫生标准生产…】
   现有的食堂若没按标准，曝光问题，那就换人，相对好解决；而预制菜是大工厂，大规模，里面涉及资本比纯承包食堂大得多，利益集团牵扯更多。那么问题很难被曝光，就算侥幸曝光，也很难解决……
   再说直白点，无论现炒还是预制菜，在监管不到位情况下，都难保卫生安全。食堂承包是小罗罗，发现问题能掰倒；预制菜如果有问题，是普通人难以抗衡的大老虎……
     所以，尽管有人吹工业化多么便捷干净，我就不信！标准订得再好又如何？它只按照一时半会吃不死你的效果去压成本做利润…",523514,158
其实预制菜矛盾的根源不在预制菜怎么样，预制菜很早就有了，也一直存在，问题是预制菜怎么样出现。预制菜在出售或使用时，消费者应该被明确告知这是预制菜，而不是把本来不出售预制菜的场景（学校，饭馆等），在某一天消费者不知情的情况下，突然用预制菜代替现炒菜，这是一种暗地里的欺骗。我们有权知道这是不是预制菜，在此基础上我们才有权去选择是否接受预制菜。而事实是很多时候商家和一些饭菜供应商会想尽办法掩盖他们出售的菜品是预制菜，很多消费者也会被忽悠，把预制菜当成炒菜。消费者无法直接辨别预制菜，又怎么去选择是否接受预制菜呢？,18782837,1074
我就是开餐饮店的，纯手工，花心思做的东西，销量比不上料理包，就是因为比料理包贵，料理包的推广，靠的就是外卖[翻白眼]，大多数人，都是社畜，除了放假，会和朋友出去吃一顿好的，其余基本都是点外卖，料理包对商家来说，就是省人工和店铺的成本，食品成本实际要比手工高！份量是真的少！手工的话就是得多请人，否则饭点，根本做不赢，需要大量的时间备菜，那你多请人，你要自己不是厨子，那成本又加了一大半。成本上去了，餐品就贵起来了！人家就不点了！吃外卖的，会管你口感多好，食材多新鲜么？要的就是便宜，味道还行就可以了！如果你自己出去外面找店吃，绝大部分店，都不会差！但是上外卖，就不同了！你看菜20块钱的外卖，实际商家到手就12块钱左右，甚至更低，你觉得能吃多好，你要吃好的就不要点外卖！外卖已经被料理包占领了！,44555934,52
为了不点预制菜外卖，选择点现炒木桶饭吃出老鼠屎，原来现炒也不是就比预制菜干净安全多少，主要是看啥人开的店，当时打了12315，给的答复是让我和商家先商量，给商家反应后说退我点餐钱，后面又说让我走美团理赔，吐完之后本来很难受就懒得和他计较走了美团理赔，大概半小时处理，赔了五十多块钱，,47349162,209
预制菜没必要被反对，它的存在就相当于泡面、罐头一类的食物，方便了一些不会做饭或者懒得做饭的这群人吃口“热乎的”和“营养的”。还有那些扯学校用预制菜不健康的所以该反对的，（我这不是洗）实际上真要是正规厂家生产的预制菜可能比你自己做饭营养更合理更卫生安全。还有添加剂啥的，添加剂这玩意儿没你想的那么夸张，那玩意儿也是要钱的，企业没理由不考虑成本。所以这不是预制菜矛盾的关键点，矛盾的关键点是现在很多打着现炒的餐馆给你用预制菜“挂羊头卖狗肉”，或者是部分企业选择低劣的预制菜来使用，就像是某些“土豆烧牛肉”预制菜，打开一看全是土豆。所以预制菜的矛盾点还是在“人”上面，预制菜是没错的，错的是某些人以次充好，以越代庖。,1073644211,43
好多人被带偏了，跟着讨论预制菜好不好，预制菜肯定没问题，这个概念包含太多东西了。但前提是，你有选择权利，肯德基、方便面都是预制菜，想吃就消费，不想吃都懒得搭理，哪里会引发讨论呢。校园上预制菜，一个不承担外来食品安全责任的理由，不让你自己带饭，你孩子不想吃还能退学不成?反对的不是预制菜本身，是那些能把预制菜玩出花来的人！,3885171,31
预制菜没什么问题，就是不能进学校，或者说进了也可以，也得给到学生吃正儿八经饭的选择，而且预制菜价格要比正经饭低。饭店有预制菜也可以，但是不能冒充正常菜，同样，价格也不能高。这个预制菜的问题很好解决，就看有没有相应的规章制度和监管。当然，有了制度和监管，依然会有违规的，违规这种东西是真的难以避免，但无法避免和不管是两回事。然后就是预制菜也就是没那么新鲜，干净程度可能还会比某些饭店餐馆强。至于说新鲜，说实话，餐馆饭店也不一定新鲜。只能说无所谓吧，问题依然是学校预制菜问题，学校必须保证学生有选择权利。至于社会上的东西，大家自然都有选择权，真的无所谓。,431663937,1337
"评论说那么多，我觉得都没必要
有人说可以让预制菜进学校，行
那我问你，现在没有预制菜的学校很卫生吗？
什么？你说不好说啊，那你搁着说啥呢
原本现做的学校食堂目前的大环境都变成这样，你觉得预制菜会给你搞干净的吗？[吃瓜]",15564500,10
"不该抵制预制菜，而是应该反对预制菜卖现炒菜的价格。
预制菜便宜方便，有它的该有市场，预制菜违法了吗？
一桌现炒卖600，预制菜300，卖该有的价格，会有人抵制吗？",667411021,1874
我只说一句话哈 肯德基麦当劳能做到全球出品一致和卫生主要的原因就是预制菜+工业系统化的管理 绝大部分食堂和地摊的卫生条件和预制菜工厂根本没法比 你可以喷它不好吃 但是说实话大部分食堂厨子的水平还不如料理包呢 搞不懂有啥好抵制的 更何况很多地方的预制菜都是当天中央厨房配送卖当天的 这都嫌不新鲜你干脆去抱着猪啃活的吧,40206239,10
"预制菜怎么了？有什么问题？不就是盐多了一点吗？快速食物难道不好吗？为什么现在这么多人抵制？不是你们难道是没吃过华莱士肯德基吗？那一堆预制菜怎么没人说？
现在的节奏真的是莫名其妙",496871339,3
"很多人单纯是为了情绪输出，商场里那些连锁店，80％都是预制菜。还有，最常见的方便面也是预制菜。
我是干餐饮的，我可以告诉你，我不用预制菜不是预制菜不好，是用不起，然后味道也一言难尽。鱼香肉丝我自己炒成本2块就搞定了，预制菜3块5一包，然后一包分量还太少，得用两包，也不知道做预制菜的是不是二比，一包不够吃，两包吃不完。
唯一的好处随热随用，方便成本核算。",74926592,2
真搞不懂弹幕一堆跟着叫“一般”“感觉很一般”的是什么心理，是自己就是生产预制菜的人还是用预制菜做外卖的人，面对就是自己现炒菜的饭店态度是这样，这只是普通的饭店，也是最朴实的饭店，老板不用预制菜糊弄人结果却遭到这样的回应，是弹幕上发表这些言论的人你们尝到味道了吗，一个本身想温暖人心的视频却遭到这样的调侃，你们真的有一点素质吗,1486139280,3
你有时间做饭，当然可以抵制没有问题，如果你每天6点下班，到家就7点了，还要自己做饭，8点吃饭的人来说，没办法，这是唯一选择，实在不想花时间在做饭上了。天天外卖，小饭馆，那还不如预制菜呢。你要天天去得起大饭店，当我没说。,275564088,1
我看到的一部分真相，舆论还是被极度紧密的控制着，比如热评第一的理中客，这种论调我已经在预制菜的新闻下热评里看到很多次了，看似中肯，实则把他筛选出来，引导大家不要对预制菜有意见，不信可以按时间看那层楼的所有回复，包括层主，都是9月22日同一天。,67271771,13
[吃瓜]去看看饭店后厨吧，再有机会看看预制菜工厂吧。,1317586202,54
预制菜一直有 一群人就逮着无脑喷 不就是为了保证出餐率 扯上食品卫生好像现炒现做的比预制菜卫生 你想吃现炒现做的去饭馆一样吃 外卖平台饭点那么多订单不用预制菜忙的过来吗,436761140,2
"预制菜，我就问你，冰冻馄饨饺子算不算预制菜，冰冻馒头算不算预制菜。罐装八宝粥算不算预制菜。榨菜算不算预制菜。预制菜很早就有了，只是最近才被下定义为预制菜。
我不反对预制菜，我反对预制菜卖现炒的高价。",34516999,17
说的真好听，谁不想吃现炒的，我们这的现炒的菜的价格是预制菜的三倍，预制菜鱼香肉丝12，现炒的35，预制菜红烧肉15，现炒的48。。。,611108910,3
预制菜我不反对，只要符合国家生产标准，没有问题就行......但是！我反对滥竽充数、坑摸拐骗，把预制菜的价格打成正常菜.....还比正常炒的菜贵几倍[辣眼睛],472785676,10
预制菜，也分有半成品和成品，大到酒店的一桌菜全是加热浇汁即可，小到是各种即热食品，人们不接受它只不过是对预制菜的定义模糊，还有地方的管理，如果预制菜从头到尾都管理有序，而不是各种无证小作坊，估计也就接受了。如果你还是不接受，那你吃过烧烤吗，吃过沙县小吃吗，吃过萨莉亚吗。预制菜毫无意义会进一步成功扩张，也希望管理制度和专业人员也跟进进步[尴尬],481271401,7
国家能不能限制一下预制菜产业？现在外卖甚至很多祝福鸡公煲、黄焖鸡等等店都是预制菜，一点人文都不保护了，文化怎么发展？,35190792,4
预制菜我挺喜欢的，已经成年人了，平时喝喝酒，虽然不抽烟吧，但是还熬夜，五毒俱全也差不多了，预制菜省省时间，味道也还好，没啥毛病。主要是抵制这玩意进食堂，进食堂太害人了,152869924,2
其实预制菜吧，现在都有一个名字中央厨房）统一配送统一口味，现在很多连锁的趋势了，很难抵制，只能说规范好这个东西，做的好那是真的好，做的拉胯那就真的拉胯，卫生口味都是，现在想要所谓的人间烟火什么的，还是去小店或者路边摊那种，但是有些小店也是这些..还是看清楚吧，没必要避免只能说尽量在家里吃饭吧，在家里也是可以吃有温度的菜，只不过做的好不好就是另外一回事了，我还是会支持预制菜，前提还是在市场规范好的前提，要不然还是算了。,22737858,19
"居然是我吃过的店，确实是山里，温州苍南这边。
都是市区或者附近别的地方，专门开车进山里来吃炒菜。
我那次是下午4点多出发，6点多才到，是真的远。
感觉没多好吃，和路边四川口味的苍蝇馆子差不多。
具体为什么人多，别人可能和我那次一样，
我朋友抖上刷到，说转评赞高，好像不错，一起去试试。
我是从不玩抖快，或许我朋友刷到的视频真的数据不错吧…

这视频也是，一看就软广或者探店，
然而菜品一般没特色，加上“预制菜热潮”，就剪成这种形式了",58766823,5
我是广州人，粤菜就是讲究新鲜烹制。我吃了二十多年了，真正的现炒现卖其实根本不贵，不管是传统粤菜馆，还是民工快餐，还是路边大排档，不要相信什么没有预制菜，普通人饮食负担更重的话。现在饮食成本高，尤其是大商场里面饮食贵是因为租金贵，房地产绑架实业的结果。现炒现卖本身不贵的，即使在广州市区，二十也足够吃一顿现炒现制的新鲜菜了,11354326,5
"预制菜核心原因是你把饮食的健康和选择交给其他人。选择相信他人的良心。
而偏偏那帮人是搞出最多幺蛾子的人。
只能说越来越赛博朋克了。",18367052,2
预制菜从来不是问题，就跟泡面，自热米饭啥的，这些新鲜事物合法合规生产都没啥，但问题是现在所有商家用预制菜也不告诉你，你不吃上你自己也不知道是不是预制菜，现在需要的要求所有商家包括外卖商家，对于使用预制菜做出来的东西明确标注，让消费者有充分的知情权和选择权，你告诉我这个是预制菜做的，买不买是我的事情，能接受就买就吃，接受不了就不买预制菜的东西，不能跟现在似的吃个饭和开盲盒一样，尊重消费者，让使用预制菜告知成为商家的义务，必须提醒，这爱怎么用预制菜怎么用，反正有想吃的就去吃预制菜做的，不想吃的就吃现炒的，这才是合理的,7844336,6
在我这温州乐清城北山上有一个农家乐，那里的评价非常好，在节假日4点左右去到7点左右可能都没位置，那里菜现做，顾客直接去厨房拿菜，想吃什么说，师傅会做一大锅（人多就看师傅心情了）然后大家就直接拿，结账会有人数拿的什么菜，味道也很好，4个人人均70到100,471157271,10
你们难道不觉得预制菜，吃到嘴里有一种闷闷的不畅快的感觉吗？,332780287,218
你要知道有些蔬菜是不能从地里立马到你的桌子上的。现在的城市化本身就会加剧人与土地的割裂。也许你有时间或者钱去很远的地方，用半天的时间去吃，新鲜的菜。城市里的民工没有时间也没有钱。与其说发展预制菜，不如把一些所谓的公园，和一些圈起来准备盖房子的地留给市民种菜。或者我们的农学院在大楼里建科技农场。,414834919,1
"现在去商场店百分之80全是成品预制菜，，天了吃死人
店面表面装修好看，菜品通过灯光照射，什么科技料理也能发光发亮，真的吓人",236630501,1
预制菜以后不上餐盘，以后直接卖给你预制好的菜让你自己慢慢倒腾[抠鼻][抠鼻],82628510,1
"预制菜是个统称，料理包，中央厨房，肯德基麦当劳必胜客豪享来，你平常买的冻品水饺汤圆都是，但是有些人故意在混淆这些概念，把这些所有东西都归为料理包，然后就成了预制菜=料理包=中央厨房我这么跟你们说吧。
只要别在外卖平台上点那种盖浇饭，便当之类的。
避开预制菜。

你想想看一家店，然后这么多的品种。
中午那么忙，他还要保证出餐的速度。他要真炒菜，怎么炒得过来？

当然，大一点的品牌连锁店可能是提前炒好大锅菜，类似于食堂打饭阿姨那种方式。",2045192765,3
预制菜不是好不好吃的问题，而是里面的营养是不是还在，有没有添加乱七八糟的东西。能动手脚降成本的地方太多了,67964956,2
"火腿肠、鸡糕、榨菜……
相信没有人没吃过“预制菜”
我们并不反对“预制菜”
我们反对的是“不到位的监管”
和“不规范的菜品、虚假的宣传和物无所值”",482854791,2
人家支持预制菜的会说，冰柜里提前半加工好的也算预制菜[笑哭],323181579,73
这个视频，我很难评价，就跟自己在家里做了一顿饭，然后说终于理解为什么泡面不好吃一样，意义在哪里？有条件自己做饭的会去吃泡面？同理预制菜也是，本来就是给那些没时间亦或是没条件去饭店又想尝点菜色不想吃泡面的人准备的，直接加热就能吃，论风味还是新鲜程度好的饭店当然完爆预制菜，但如今民众的生活普遍快节奏，时间就是金钱，哪里有那么多时间去给你每一餐都慢慢排队慢慢等，预制菜如果没有硬性需求，全是资本在推在骗，那它自己就会自然而然地消亡，根本不需要谁谁抵制，现在国人并没有全员都进入到完全解决温饱问题且急切需要提高生活质量的阶段，既然如此预制菜就还不会消失，但消失也是迟早的事，我记得我小时候泡面还是奢侈品呢，现在不还是人嫌狗启，某些人到底怕什么[尴尬],381724265,2
那些说有些食堂还不如预制菜的朋友搞错了一个逻辑，有问题就应该是去改正，食堂做不好就应该投钱去搞食堂，而不是换一个方法统筹管理。,249715424,2
抵制预制菜的，和辛吉飞粉丝没啥两样，反正我经常吃，以后也给我孩子吃，我身边好多人都吃了几十年预制菜了,400749490,36
大多数人不能接受的点还是在于料理包这个东西进校园，给学生吃，还有料理包卖出炒菜的价格来，不会做饭没时间做饭的打工人只能点外卖，拿我来说，疫情不能点外卖我吃自己做的饭瘦了接近20斤，还不如点外卖，但是料理包既不能保证味道又不能保证营养，还要卖出新鲜食材的价格，被抵制是必然的，学生有几个没点挑食的习惯的，学校食堂大多都有国家的补助，学生吃饭又不是不花钱，这种情况下还给学生吃料理包那真是丧良心,360630647,62
预制菜就和网购一样，首先干掉的一定是大量的实体就业人数。还有一个最大的危险就是预制菜极其会往科技与狠活那条路一往无前的发展。,3.46157E+15,1245
我觉得大家搞错了谈论的重点，并不是预制菜到底好不好，而是为什么预制菜这种东西能作为预备投入市场的产品还能在社会产生舆论,660272799,9
支持预制菜，支持食品工业化,384803816,3
你可以喜欢炒菜，但没必要非得踩预制菜，你可以过着舒适的生活，花足够的时间，足够的钱去享受生活，但也别抹黑食品工业的作用，养活全中国的人不是靠着浪漫主义，喊喊口号的。集体主义不是告诉大家何不食肉糜，而是让路上的冻死骨变少，你大可以把预制菜当做饲料，当做臭酒肉，但不要给吃预制菜的人心理压力，歧视与傲慢。,174411602,45
不是，up主，我感觉你的思维有点陷入二极管的误区了，喜欢现制菜就一定要抵制预制菜吗？,267575900,3
预制菜≠料理包，别总把预制菜≌料理包。进校园的预制菜明明是中央厨房模式，不知道哪来的风吹成料理包了。,30299924,2
预制菜是什么你都没有搞懂就开始抵制。我们要抵制的是以次充好，生产卫生、原材料等环节不合格的预制菜。对于合格合规的预制菜不但不应该抵制，还应该消除偏见。,688524783,474
"预制菜是工业化伟力的体现，是时代科技进步的红利。本身是没有问题的。
全部菜品由大公司中央食堂制作出餐，品控统一，干净卫生。即便出了事大公司赔偿方面总比路边小饭店靠谱吧。最关键的是可以在营养价值和口味相同的情况下可以降低成本。这就表示可以让利给消费者与预制菜基层从业人员。本来饭店端盘子的服务员一个月3000可能现在可以赚4000了。本质是产业升级，绝对的好事情。
当然以上说的这些都可以忽略不计，预制菜有那么多优点但是有一个缺点，就是相比传统餐饮更容易暗箱操作与搞腐败。那么以上的这些优点都可以忽略了[doge]",27798948,4
这就跟星际小说里人们为了生活选择吃营养剂，但还是会更愿意吃现场制作的饭菜是一个道理[藏狐],202652717,6
"……一些人总觉得预制菜怎么的，都没搞清楚到底什么是预制菜，预制菜的优势在哪里，缺点在哪里，就在哪里跟风。
生意这么好的餐馆，根本就不是预制菜的竞争对手，不是一个赛道的。
用这来比较，就跟吃国宴的说外卖不好吃一样。难不成推不推出预制菜他们的生意会有多大影响吗？

预制菜的优点在于方便，快捷，同时能用集采加流水线的模式压低成本。
缺点在于不透明度，饭店你至少还能看得到餐厅环境的一部分，预制菜毛都看不到。
如果是正规大型企业搞的一般没问题，但是问题是你又不知道，加上其他同行用诸如边角料之类的打价格战，劣币驱逐良币的策略，中间的不透明，还有处罚等这才是预制菜的问题。
其他问题就是诸如知情权，或者可选择度，不能搞的跟按摩座椅一般。",19155200,8
