content,mid,like
什么都看怎么用怎么管。日本超市遍地都是从冷冻食品，料理包，调味好的半成品，半成品调料包多如牛毛。而且很多连锁店本身其实也是料理包预制品在加工热一热而已，甚至店里直接就有卖冷冻的。工业料理无可厚非，小到咖喱块，大到料理包，关键是监管，透明，价格。,321096,340
"总的来说就是成本太高 房租真的要命 人工才是其次
作为外卖员告诉你们 只有少数只有夫妻经营的小店使用预制菜比例会降很多",3.49312E+15,264
如果料理包是未来，那什么都别说了，直接给我上营养胶囊吧,1350836,195
"我说个解决方法：八小时工作制[doge][doge][doge]
我一天如果只上八小时班我下班肯定逛菜市场自己天天琢磨炒菜出去找好吃小馆子吃吃吃吃吃
预制菜味道都差不多，外卖点多了真的会吃厌",270247474,26
"KFC,M记算预制菜吗？
大城市里中央厨房的配餐制是预制菜吗？
蒸功夫是预制菜吗？
卤菜是预制菜吗？
必胜客里冷冻之后再加工的披萨是预制菜吗？
罐头算预制菜吗？
[捂眼]",72584,162
不反对工业化，但反对利用工业化压榨人的剩余价值。我本来可以在家自己做，却被逼着加班，加班挣到的钱还吃不起一顿现做的饭？,3575638,67
"预制菜这玩意，极少有人反对方便面，罐头，自热火锅，速冻饺子，免洗水果蔬菜等等一系列的东西 
甚至会引起一阵开箱热潮，但一旦提到外卖午餐餐厅预制菜，就会骂声一片 
抗拒的不是是否预制菜，抗拒的是被欺骗，而且还是高价欺骗，这谁扛得住，一包几块的预制菜，做成外卖二十几",108912147,3
"预制菜是最近争议比较多的话题，但这是个很泛的词，现在把一大堆大概都笼统称预制菜了。其实按预制的深度，可以分很多级：
0. 0预制：每天菜市场买新鲜菜，厨房现炒现做
1. 中央配送：原材料来自全国各地，清洗+冷鲜包装后配送，厨房配料现炒
2. 预配菜：在1的基础上，原料进一步切片切块，增加独立包装的配料和调料，厨房简单混合后熟制
3. 预腌制菜：在2的基础上，原料与部分调料提前混合，预腌制，如牛排，炸鸡，奥尔良鸡翅。原料无冷冻。厨房直接蒸烤后出菜
4. 中央厨房：聚集在少数城市的大型厨房，完成菜品的熟制加工后保温或冷藏运输至消费端。菜品保质期短，一般当天销售不过夜。厨房进行简单加热和装盘
5. 冷冻菜：来自中央厨房熟制后冷冻包装，进入零售销售网络，保质期几周到几个月",229257,22
"有的人不想吃预制菜的原因是觉得不卫生，有的人不想吃预制菜的原因是觉得不好吃
我不想吃预制菜的原因：我不想在日常的吃食中都要把人为三六九等，预制菜可能便宜一块两块，而凝结了厨师劳动价值的食物却贵了五十六十，作为普通人再无福消受
生产力的不断发展让穷人有了对数增长的基本尊严，却让食利者们有了指数增长的穷奢极欲。",864971,2
等到大家吃惯了接受了预制菜，就可以推口味营养膏了，两三口吸完就可以继续为了以后甜继续苦了，到时候畅销励志书就变成《我奋斗十年只为了和你们一样吃预制菜外卖》还有《我奋斗三十五年只为了和你们一样坐着吃一次新鲜现炒菜》,120882,3
预制菜没问题，但是商家用料理包得标注用的是料理包才好,1017567546,190
先说明，如果你不同意我的观点，那以你的观点为准，别和我较劲。有些事情一但开了头，就别想着拿法律法规规范他们。他们不但敢不断地挑战下限，更有可能突破底线。难道地沟油、老坛酸菜、三鹿奶、鼠鼠鸭、脏乱预制菜后厨曝光等等这些食品安全问题背后没有规章制度吗？我们是担心制定规章制度的时候不完善吗？我们是怕有标准但不执行。,872618,4
"一、预制菜是未来人类餐饮的趋势，可以降低餐厅成本，提高效率，但中餐难以标准化，仍需大厨手艺，预制菜仍有局限性。
00:01 - 锅气香精和预制菜的介绍
00:45 - 预制菜的定义和范围，以及它在餐饮业中的应用
01:53 - 预制菜的优势和它对餐饮业的影响，以及中餐标准化的问题
二、预制菜在餐饮业中的应用和问题，探讨了其对餐厅成本、效率和口碑的影响，并提到了消费者对预制菜的心理预期和接受程度。
03:00 - 肯德基和麦当劳的成功源于产品口味质量的稳定
03:25 - 中餐制作流程全在大厨艺人的脑骨子里，难以控制
05:35 - 店家节约成本和心理预期是预制菜存在的原因之一
三、预制菜的行业现状和消费者对预制菜的质疑和排斥，以及预制菜的生产过程和历史发展。同时也探讨了食品安全和人类饮食的工业化发展之间的关系。
06:00 - 预制菜良心，但早餐店收费16元却泡了方便面，不妥
06:43 - 预制菜排斥的原因是对食品安全不信任，需要建立长期信任
08:55 - 预制菜是食品工业化的产物，人类发展史就是一段关于吃的工业化历史
四、食品工业化的产物，如预制菜和餐饮工业化，以及它们对人们生活的影响。视频指出，工业化是社会发展的必然趋势。
09:01 - 食品工业化的产物，如植物驯化、化学肥料、收割机等，让人类更便捷地获得食物
10:14 - 餐饮工业化是企业做大做强的正确打开方式，如真功夫、海底捞、西贝等
11:30 - 制作过程繁复，食材贵，人类的终点很可能是赛博朋克社会，一切都将变得工业化和自动化
五、未来食品可能的两种极端形态:工业流水线上的预制菜和机器人现做的菜。作者认为这揭示了现代食品的困境。
12:01 - 食物可能是工业流水线上的碳水蛋白质块，廉价高效
12:16 - 预制菜和机器人现做的菜让人分不清，成为少数人享受的奢侈
12:33 - 费尔巴的话：人吃什么就是什么
--本内容由AI视频小助理生成，关注解锁AI助理，由@3800000 召唤发送",1141159409,1
警惕料理包跟净菜等等混为一谈，点外卖结果是料理包，没有知情权等等问题,402765,8
当然，我不希望未来人类只是吸食营养液，我还是希望人类未来的食物很多样，有很多现烹。在当前环境下，好的厨子肯定是越来越少的。我自己也做菜，我还是在读博士生。我做一份麻婆豆腐要将近一个小时（现焙现磨辣椒和花椒，切豆腐、葱、姜、蒜、泡椒、牛肉，煮豆腐，炒制，勾芡等等），但我做留学辅导，一个小时可以赚400块。那你说这一份麻婆豆腐卖多少钱合适？我国人口基数大，长期以来，大部分人都是用极低的成本享受了很好的服务。当然这里并不是说大家占了便宜，而是因为很多原因，大家的薪资跟劳动付出相差太多：因为大家工资普遍都低，一份本应该卖50的麻婆豆腐只能卖8块或者20块。不管怎么说，预制菜真的很可能是未来的趋势，也许真的不是因为大家懒，而是因为很多真的厨子赚的钱太少了，需要压缩成本。欧美这边很多年就实现了“万物皆可微波炉”：在超市里买了预制菜，回家扔微波炉一热就是一顿饭。美国这边，你去餐馆让人现做，随便一顿都是15美元起步（我现在也开始怀疑，也许他们用了预制菜；有一点我可以肯定，一些中餐馆的酱料肯定是用了预制料理包的，能尝得出来。下面的图片是我自己做的麻婆豆腐。,226642069,56
"预制菜，在玩偷换概念，天然防腐方式去和人工化学品的防腐方式去对比。

还有调料，以前中餐都是用的天然的种植的。  现在最近的预制菜，那是直接用人工化学的调味品。

还有也不知道 商家为了 压低成本会不会用 低成本高产出的 转基因。",4540960,2
是的，看美剧就很不理解，早餐牛奶加麦片真的能吃吗？后来为了节约时间，自己吃的早餐是牛奶加蛋糕，好像也没多大区别，说白了就是，我买包装蛋糕你却卖我现烤蛋糕的钱就有问题，还有学校，同样是交那么多生活费，你给我吃预制菜，把人当傻子吗？而且预制菜这玩意儿最大问题就是不透明，合不合格谁知道？,20317232,4
[妙啊]最开始资本投资是团购买菜，挣老百姓钱让老百姓无钱可挣。然后投资面馆，面就贵了。现在资本投资预制菜了。这东西你一定要少吃，最开始肯定是行业乱象哪怕有人坚持正义，最后被罚也罚不多了。工厂还能黄了吗？慢慢最后就剩下最后几家。然后像美团饿了么那种垄断。是不是这个道理。,100943236,17
等预制菜把传统炒菜打没了  夫妻店消失了 小炒店关门了  所有人都用预制菜了 那么他就可以开始涨价了 现在15元一份预制卤肉饭 20 25 直到超过现在自己卤肉的28的价格,330603,3
预制菜我不反对，但是你给我标明白了，怎么选是我的事,415385,18
"如果工业能继续发达，那么生产力的提高完全能让一天只工作4，5个小时，剩下的时间你可以去干任何你喜欢的事，也包括自己去菜市买材料，做你想吃的东西，而不一定是要登山滑雪后再去5星餐厅花普通人一个月的收入点一桌米其林。

前提是资本不再是对生产者只保留给他们成本最低的生活保障以及生活安慰。
是的，这所有的矛盾仍然是在分配上。",2353656,56
"1、严格规范卫生及标准
2、知情权
3、价格区分",12432718,2032
预制菜倒是也没什么，我在日本留学的时候每天都吃便利店里的便当一样好好活着。主要的问题还是安全和价格，首先你别拿烂菜叶以次充好，其次就是你别拿16块钱的手作牛肉面价格卖给我6块钱牛肉泡面。,2836449,256
不排斥预制菜，但有前提，那就是食材新鲜、卫生，没有科技狠活,1605199592,219
就这样说吧，现在的社会，许多的工作都迫使人们不得不减少吃饭的时间，假如饭店依旧现炒现做，那么，有些饭店必然会出现出餐慢，客户不满意的情况，这个时候商家也很冤，而预制菜很好的解决了这个问题，所以如果真的害怕预制菜，首先应该着手的是工作时间的问题，而造成工作时间减少的另一个问题，也是需要解决的,100980124,66
会不会以后有厨师做菜的餐厅都是高端餐厅了 我们这些打工人就只能吃预制菜了[笑哭],327048269,554
