content,mid,like
关于杭州的“美食荒漠”，很多UP主没有提到一个问题——杭州不能使用明火的沿街店铺占比比其他任何一个城市都高。市中心或者景区控制明火段铺也就算了，都快乡下的小区门口沿街店铺也禁止明火。没有明火，只能水煮。水煮的饭店职能是麻辣烫、水饺店。小炒是不可能的，盖浇饭的浇头都不能炒，只能买料理包……,384376681,477
"十几年的餐饮人说点心里话。鄙人愚见，仅供参考。
说到中餐连锁，有一个话题是永远跨不过去的，就是菜品的统一化。以前餐饮业老是在反思为什么中餐出不了肯麦这种级别的连锁餐饮，然后刨根究底地最后把问题归罪到中餐很难保证菜品的统一化上。于是各路英雄开始出谋划策，最后终于想到了“好办法”，就是今天看到的局面。
而我要说，这个问题，才一开始的出发点就搞错了，中餐的灵魂就是非标。实际上，中餐即使搞连锁，也根本不需要千店同味。只需要做到千店都“好吃”，就够了。“好吃”才是餐饮的根。一味地追求同味，才是抹杀了中餐的根，抹杀了中餐的灵魂。",223630496,3629
"看过一个统计。说中国的餐饮业按照消费需求反推应当可以解决两千万就业，但是实际统计只有一千五百万。这五百万人呢就是被科技取代了。
那么问题来了，评论的各位如果做个调查，有多少人会觉得我们比十年前没有科技的时候吃得更好、更健康、更便宜呢？
我一直认为人最迫切需要的不是新技术，而是新伦理",7932093,147
当中央厨房越来越全面，人们再家就可以吃到高标准的预制菜，在家做一顿大餐可能只需要几十分钟，那么餐厅一定会消失很多，我期待着那一天的到来[打call][打call][打call],230222749,1192
"角度可以啊，预制菜发展不一定是坏事，监管要起来，不过国内现在的风气，实话说没啥意思。
1、预制菜引发餐饮行业和人员就业变革。预制菜消灭厨师，我认为确实会使普通厨师和普通餐馆受到冲击，但同时技术高超的厨师或者专业知识的调味等也会越来越受重视
2、餐饮市场的分层会越来越明显。那么对于连锁化的餐饮店，后面会在商超等越来越多，同时传统餐馆，要不走高端化，要不在一些近距离的社区中会有生存空间
行业的发展需要监管同时更需要行业自律。哎",133228645,52
"其实，不希望餐厅用预制菜的最好办法，就是大家都吃预制菜。。。。不是说主动找用预制菜的餐厅，而是跳过餐厅这一步，自己把预制菜买回家做，加热组装又不麻烦，符合当今上班族时间越来越少的情况，比外卖更加便宜还能吃到一样的味道。
餐厅和预制菜的关系，就会从以前合作，转向竞争了，餐厅为了赢过预制菜，就会努力想各种办法，虽然外面餐厅的数量会大幅度减少，但是能存活下来的一定都有着足够质量。
事实上，美国就是这样走过来的，去过美国的朋友家里，都知道美国家庭的冰箱里放着一大堆预制菜。
去过美国超市的人，都知道美国超市里有专门预制菜的专柜，什么冷冻披萨，冷冻蔬菜沙拉，冷冻肉饼，琳琅满目。
k和m虽然是全球快餐巨头，但是在美国本土却越来越不受欢迎，美国人越来越倾向于纯手工制作的街头汉堡。
我相信中国的料理包行业，最初开始发展的时候，定位一定是偏向方便食品的，打算以方便面为竞争对手的，是想直接进入中国人的家庭中的，而没有打算作为外卖。只是没有料到中国的外卖行业发展更快，消费者们更趋向外卖，导致只能和外卖行业进行合作共赢。
预制菜在工业化的时代是一定无法避免，一定会存在的，是不可能消失的，人们只能选择正确的适应它，人们把它直接用在家庭中节省成本，就是一种正确的适应方法。",2701695,2144
"你最后说，杭州是美食荒漠，是因为预制菜卷死了现做的餐馆，根本不对。
本质原因是消费者的选择，消费者根本吃不出现做和预制的区别，只要哪里的餐馆上菜够快，口味够足，就ok，不会管这家是不是现做还是预制。
导致厨师失业，和现做餐馆失业的，不是预制菜，而是当下的消费者追求的快速和标准化，什么都要快字为先。",4533566,123
预制菜又不是说嫌弃它不好吃不健康啥的，毕竟只要正规生产的预制菜，味道比我做得好，环境可能比我家厨房还干净，但拿预制菜卖现做菜的价再骗我是大厨做的就过分了[辣眼睛]，我可以自己淘宝买预制菜冲泡饮料图方便，但不能被人当傻子坑[笑哭],16049063,2491
看ai画 听ai歌 有不懂问chatgpt 吃预制菜 我的人生真是太美好力[给心心][给心心][给心心][给心心],4413987,101
以后厨师这个行业会不会濒临灭绝啊？厨艺也是传统文化的一种,277373167,20
